Title,Authors_with_affiliations,Conf,Year,Cited_by
Multifractality in arterial pulse,"Joshi, A.J., Computer Science and Engg. Dept., IIT Bombay, Powai, Mumbai 400076, India; Chandran, S., Computer Science and Engg. Dept., IIT Bombay, Powai, Mumbai 400076, India; Jayaraman, V.K., National Chemical Laboratory, Chemical Engineering and Process Development Division, Pune 411008, India; Kulkarni, B.D., National Chemical Laboratory, Chemical Engineering and Process Development Division, Pune 411008, India",ICPR,2008,
Resolution enhancement for binocular stereo,"Bhavsar, A.V., Department of Electrical Engineering, IIT, Madras, India; Rajagopalan, A.N., Department of Electrical Engineering, IIT, Madras, India",ICPR,2008,2
Online adaptive clustering in a decision tree framework,"Basak, J., IBM India Research Lab., New Delhi, India",ICPR,2008,
A 2D model for face superresolution,"Kumar, B.G.V., Department of Electrical Engineering, Indian Institute of Technology, Madras Chennai 600036, India; Aravind, R., Department of Electrical Engineering, Indian Institute of Technology, Madras Chennai 600036, India",ICPR,2008,1
A least square kernel machine with box constraints,"Basak, J., IBM India Research Lab, New Delhi, India",ICPR,2008,
Back to the future: Robust foreground extraction with reversed-time background modeling,"Sinha, A.K., Dept. of CSE, IIT, Kanpur, India; Guha, P., Dept. of EE, IIT, Kanpur, India; Mukerjee, A., Dept. of CSE, IIT, Kanpur, India",ICPR,2008,
Tracking of persons for video surveillance of unattended environments,"Kong, S., ITEE, University of Queensland, QLD 4072, Australia; Bhuyan, M.K., NICTA, St Lucia, QLD 4072, India, Indian Institute of Technology, Roorkee 247667, India; Sanderson, C., ITEE, University of Queensland, QLD 4072, Australia, NICTA, St Lucia, QLD 4072, India; Lovell, B.C., ITEE, University of Queensland, QLD 4072, Australia, NICTA, St Lucia, QLD 4072, India",ICPR,2008,
"Classification method for microarray probe selection using sequence, thermodynamics and secondary structure parameters","Gupta, L., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Kumar, S., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Singh, R., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Shaik, R., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Dimitrova, N., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Gorthi, A., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Lakshmi, B., Cold Spring Harbor Laboratory, 1, Bungtown Road, Cold Spring Harbor, NY 11724, United States; Pai, D., Cold Spring Harbor Laboratory, 1, Bungtown Road, Cold Spring Harbor, NY 11724, United States; Kamalakaran, S., Philips Research Asia - Bangalore, Philips Innovation Campus, Nagavara, Bangalore, India; Zhao, X., Cold Spring Harbor Laboratory, 1, Bungtown Road, Cold Spring Harbor, NY 11724, United States; Wigler, M., Cold Spring Harbor Laboratory, 1, Bungtown Road, Cold Spring Harbor, NY 11724, United States",ICPR,2008,
A new multiobjective simulated annealing based clustering technique using stability and symmetry,"Saha, S., Machine Intelligence Unit, Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Bandyopadhyay, S., Machine Intelligence Unit, Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India",ICPR,2008,
Machine reading of camera-held low quality text images: An ICA-based image enhancement approach for improving OCR accuracy,"Garain, U., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Jain, A., Dept. of Information Technology, Indian Institute of Information Technology and Management, Gwalior, India; Maity, A., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Chanda, B., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India",ICPR,2008,1
Efficient implementation of SVM for large class problems,"Ilayaraja, P., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500 032, India; Neeba, N.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500 032, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500 032, India",ICPR,2008,
Stop word detection in compressed textual images: An experiment on Indic script documents,"Garain, U., CVPR Unit, ISI, Kolkata, India; Das, A.K., CST Dept., BESU, Shibpur, India",ICPR,2008,
Large margin AR model for time series classification,"Kini B., V., Honeywell Technology Solutions Lab, Bannerghatta Road, Bangalore 560076, India; Sekhar, C.C., Dept of Computer Science and Engg., Indian Institute of Technology Madras, Chennai 600036, India",ICPR,2008,
Edge-preserving unscented Kalman filter for speckle reduction,"Subrahmanyam, G.R.K.S., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai 600 036, India; Rajagopalan, A.N., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai 600 036, India; Aravind, R., Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai 600 036, India; Rigoll, G., Lehrstuhl fÃ¼r Mensch-Maschine-Kommunikation, Technische UniversitÃ¤t MÃ¼nchen, 80333 MÃ¼nchen, Germany",ICPR,2008,
A multiobjective simulated annealing based fuzzy-clustering technique with symmetry for pixel classification in remote sensing imagery,"Saha, S., Machine Intelligence Unit, Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Bandyopadhyay, S., Machine Intelligence Unit, Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India",ICPR,2008,2
Hybrid wavelet support vector classification of temporal bone abnormalities,"George, J., Medical Imaging Research Group, Network Systems and Technologies (P) Ltd., Technopark Campus, Trivandrum, India; Subin, T.K., Dept. of Electronics and Communication Engg., College of Engineering, Trivandrum, Trivandrum, India; Rajeev, K., Technology Development Centre, Network Systems and Technologies (P) Ltd., Technopark Campus, Trivandrum, India",ICPR,2008,
Incremental classification of invoice documents,"Hamza, H., ITESOFT, France, LORIA, University Nancy 2, France; BelaÃ¯d, Y., LORIA, University Nancy 2, France; BelaÃ¯d, A., LORIA, University Nancy 2, France; Chaudhuri, B.B., Indian Statistical Institue, Kolkata-108, India",ICPR,2008,2
Hybrid SVM - Random Forest classication system for oral cancer screening using LIF spectra,"Singh, R.K., Indian Institute of Technology, Kharagpur, India; Naik, S.K., Philips Research Asia, Bangalore, India; Gupta, L., Philips Research Asia, Bangalore, India; Balakrishnan, S., Philips Research Asia, Bangalore, India; Santhosh, C., Manipal University, Karnataka, India; Pai, K.M., Manipal University, Karnataka, India",ICPR,2008,
Bag-of-features kernel eigen spaces for classification,"Sharma, G., Dept. of Mathematics, Indian Institute of Technology, Delhi, India; Chaudhury, S., Dept. of Electrical Engg., Indian Institute of Technology, Delhi, India; Srivastava, J.B., Dept. of Mathematics, Indian Institute of Technology, Delhi, India",ICPR,2008,1
Parametric video compression using appearance space,"Chaudhury, S., Electrical Engineering Department, IIT Delhi, India; Tripathi, S., Electrical Engineering Department, IIT Delhi, India; Roy, S.D., Electrical Engineering Department, IIT Delhi, India",ICPR,2008,
Convex hull based approach for multi-oriented character recognition from graphical documents,"Roy, P.P., Computer Vision Center, Universitat AutÃ²noma De Barcelona, 08193, Bellaterra, Spain; Pal, U., Computer Vision and Pattern Recognition Unit, Indian Statistical Institute, Kolkata - 108, India; LladÃ³s, J., Computer Vision Center, Universitat AutÃ²noma De Barcelona, 08193, Bellaterra, Spain; Kimura, F., Graduate School of Engineering, Mie University, 1577 Kurimamachiya, Mie 514-8504, Japan",ICPR,2008,
Offline handwritten Devanagari word recognition: A segmentation based,"Shaw, B., CVPR Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-700108, India; Parui, S.K., CVPR Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-700108, India; Shridhar, M., University of Michigan-Dearbon, Dearbon, MI, 48128, United States",ICPR,2008,
Recognition of books by verification and retraining,"Neeba, N.V., Centre for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500 032, India; Jawahar, C.V., Centre for Visual Information Technology, International Institute of Information Technology, Hyderabad, 500 032, India",ICPR,2008,
Manifold optimisation for motion factorisation,"Shaji, A., CSE, IIT, Bombay, India; Chandran, S., CSE, IIT, Bombay, India; Suter, D., ECSE, Monash University, Australia",ICPR,2008,1
Discriminative HMM training with GA for handwritten word recognition,"Bhowmik, T.K., CVPR Unit, Indian Statistical Institute, Kolkata, India; Parui, S.K., CVPR Unit, Indian Statistical Institute, Kolkata, India; Roy, U., Dept. of IT, School of Technology, Assam University, India",ICPR,2008,
Modulation-domain particle filter for template tracking,"Prakash, R.S., Department of Electrical Engineering, Indian Institute of Technology, Madras, Chennai, 600036, India; Aravind, R., Department of Electrical Engineering, Indian Institute of Technology, Madras, Chennai, 600036, India",ICPR,2008,3
Application of triphone clustering in acoustic modeling for continuous speech recognition in Bengali,"Banerjee, P., Communication Empowerment Lab., IIT Kharagpur, India; Garg, G., Communication Empowerment Lab., IIT Kharagpur, India; Mitra, P., Communication Empowerment Lab., IIT Kharagpur, India; Basu, A., Communication Empowerment Lab., IIT Kharagpur, India",ICPR,2008,
Online personal identification in night using multiple face representations,"Kumar, A., Biometrics Research Laboratory, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India; Srikanth, T., Biometrics Research Laboratory, Indian Institute of Technology Delhi, Hauz Khas, New Delhi 110016, India",ICPR,2008,1
Efficient geometric matching with higher-order features,"Paramanand, C., Image Processing and Computer Vision Lab., Department of Electrical Engineering, IIT Madras, India; Rajagopalan, A.N., Image Processing and Computer Vision Lab., Department of Electrical Engineering, IIT Madras, India",ICPR,2008,
Comparing rank-inducing scoring systems,"Bhamidipati, N.L., Machine Intelligence Unit, Indian Statistical Institute, Kolkata - 700108, India; Pal, S.K., Machine Intelligence Unit, Indian Statistical Institute, Kolkata - 700108, India",ICPR,2006,5
Improving shape from focus using defocus information,"Pradeep, K.S., Image Processing and Computer Vision Laboratory, Department of Electrical Engineering, Indian Institute of Technology Madras, India; Rajagopalan, A.N., Image Processing and Computer Vision Laboratory, Department of Electrical Engineering, Indian Institute of Technology Madras, India",ICPR,2006,2
Novel DCT and DWT based watermarking techniques for digital images,"Tripathi, S., Birla Institute of Technology and Science, Pilani Rajasthan, India; Jain, R.C., Birla Institute of Technology and Science, Pilani Rajasthan, India; Gayatri, V., HP LABS, Bangalore, India",ICPR,2006,3
Texture edge detection using multi-resolution features and SOM,"Gupta, L., Department of Computer Science and Engineering, Indian Institute of Technology - Madras, Chennai - 600 036, India; Das, S., Department of Computer Science and Engineering, Indian Institute of Technology - Madras, Chennai - 600 036, India",ICPR,2006,3
A fast and efficient ensemble clustering method,"Viswanath, P., Department of Computer Science and Eng., Indian Institute of Technology, Guwahati, India; Jayasurya, K., Department of Biotechnology, Indian Institute of Technology, Guwahati, India",ICPR,2006,8
Improvement of OCR accuracy by similar character pair discrimination: An approach based on artificial immune system,"Garain, U., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India; Chakraborty, M.P., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India; Majumder, D.D., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India",ICPR,2006,3
Summarization of JBIG2 compressed Indian language textual images,"Garain, U., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India; Datta, A.K., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India; Bhattacharya, U., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India; Parui, S.K., Indian Statistical Institute, 203, B. T. Road, Kolkata 700108, India",ICPR,2006,1
Efficient region based indexing and retrieval for images with elastic bucket tries,"Karthik, S., Center for Visual Information Technology, International Institute of Tehcnology, Hyderabad, 500032, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Tehcnology, Hyderabad, 500032, India",ICPR,2006,
L-DBSCAN: A fast hybrid density based clustering method,"Viswanath, P., Department of Computer Science and Engineering, Indian Institute of Technology - Guwahati, Guwahati-781039, India; Pinkesh, R., Department of Computer Science and Engineering, Indian Institute of Technology - Guwahati, Guwahati-781039, India",ICPR,2006,19
Digital watermarking in contourlet domain,"Jayalakshmi, M., SPANN Lab., Electrical Engineering Department, Indian Institute of Technology, Bombay, India; Merchant, S.N., SPANN Lab., Electrical Engineering Department, Indian Institute of Technology, Bombay, India; Desai, U.B., SPANN Lab., Electrical Engineering Department, Indian Institute of Technology, Bombay, India",ICPR,2006,25
A MOE framework for biclustering of microarray data,"Mitra, S., Machine Intelligence Unit, Indian Statistical Institute, Kolkata 700 108, India; Banka, H., Center for Soft Computing Research, Indian Statistical Institute, Kolkata 700 108, India; Pal, S.K., Center for Soft Computing Research, Indian Statistical Institute, Kolkata 700 108, India",ICPR,2006,2
Texture classification using curvelet statistical and co-occurrence features,"Arivazhagan, S., Department of Electronics and Communication Engineering, Mepco Schlenk Engineering College, Sivakasi - 626 005, India; Ganesan, L., Department of Computer Science and Engineering, Alagappa Chettiar College of Engineering and Technology, Karaikudi - 623 004, India; Kumar, T.G.S., Department of Electronics and Communication Engineering, Mepco Schlenk Engineering College, Sivakasi - 626 005, India",ICPR,2006,28
Activity discovery from surveillance videos,"Guha, P., Dept. of EE, IIT Kanpur, India; Mukerjee, A., Dept. of CSE, IIT Kanpur, India; Venkatesh, K.S., Dept. of EE, IIT Kanpur, India; Mitra, P., Dept. of CSE, IIT Kharagpur, India",ICPR,2006,1
Contour encoding based on extraction of key points using wavelet transform,"Makkapati, V., Honeywell Technology Solutions Lab., Bannerghatta Road, Bangalore - 560 076, India; Mahapatra, P., Department of Aerospace Engineering, Indian Institute of Science, Bangalore - 560 012, India",ICPR,2006,1
Skew detection in binary image documents based on image dilation and region labeling approach,"Dhandra, B.V., Post-Graduate Department of Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106 Karnataka, India; Malemath, V.S., Post-Graduate Department of Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106 Karnataka, India; Mallikarjun, H., Post-Graduate Department of Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106 Karnataka, India; Hegadi, R., Post-Graduate Department of Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106 Karnataka, India",ICPR,2006,17
"Combining fingerprint, palmprint and hand-shape for user authentication","Kumar, A., Department of Computing, Hong Kong Polytechnic University, Hong Kong, Hong Kong, Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India; Zhang, D., Department of Electrical Engineering, Indian Institute of Technology Delhi, New Delhi, India",ICPR,2006,34
Vector quantization using reflections of triangular subcodevectors,"Makkapati, V., Honeywell Technology Solutions Lab., Bannerghatta Road, Bangalore - 560 076, India; Mahapatra, P., Department of Aerospace Engineering, Indian Institute of Science, Bangalore - 560 012, India",ICPR,2006,
An iterative algorithm for segmentation of isolated handwritten words in Gurmukhi script,"Sharma, D.V., Department of Computer Science, Punjabi University, Patiala-147002 Punjab, India; Lehal, G.S., Department of Computer Science, Punjabi University, Patiala-147002 Punjab, India",ICPR,2006,4
Visual servoing in presence of non-rigid motion,"Kumar, D.S., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad 500032, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Hyderabad 500032, India",ICPR,2006,2
Biometrics based asymmetric cryptosystem design using modified fuzzy vault scheme,"Nagar, A., Mathematics Department, IIT Delhi, India; Chaudhury, S., Electrical Engg. Department, IIT Delhi, India",ICPR,2006,25
Scalable non-linear support vector machine using hierarchical clustering,"Asharaf, S., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India; Shevade, S.K., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India; Narasimha Murty, M., Computer Science and Automation, Indian Institute of Science, Bangalore-560012, India",ICPR,2006,1
A reflex fuzzy min max neural network for granular data classification,"Nandedkar, A.V., Indian Institute of Technology, Kharagpur, India; Biswas, P.K., Indian Institute of Technology, Kharagpur, India",ICPR,2006,4
Lossless compression of textual images: A study on indic script documents,"Garain, U., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Chakraborty, M.P., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India; Chanda, B., Indian Statistical Institute, 203, B.T. Road, Kolkata 700108, India",ICPR,2006,
Analysis of abnormality in endoscopie images using combined HSI color space and watershed segmentation,"Dhandra, B.V., P. G. Department of Studies and Research in Computer Science, Gulbarga University, India; Hegadi, R., P. G. Department of Studies and Research in Computer Science, Gulbarga University, India; Hangarge, M., P. G. Department of Studies and Research in Computer Science, Gulbarga University, India; Malemath, V.S., P. G. Department of Studies and Research in Computer Science, Gulbarga University, India",ICPR,2006,11
Recognition of english multi-oriented characters,"Pal, U., CVPR Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata-108, India; Kimura, F., Faculty of Engineering, Mie University, TSU, 1577 Kurimamachiya-cho, Mie 514-8504, Japan; Roy, K., CVPR Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata-108, India; Pal, T., CVPR Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata-108, India",ICPR,2006,6
Target model estimation using particle filters for visual servoing,"Hafez, A.H.A., Dept. of CSE, College of Engineering, Osmania University, Hyderabad-500007, India; Jawahar, C.V., Center for Visual Information Technology, International Institute of Information Technology, Gachibowli, Hyderabad-500032, India",ICPR,2006,3
Script identification based on morphological reconstruction in document images,"Dhandra, B.V., Department of P.G. Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106, Karnataka, India; Nagabhushan, P., Department of P.G. Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106, Karnataka, India; Hangarge, M., Department of P.G. Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106, Karnataka, India; Hegadi, R., Department of P.G. Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106, Karnataka, India; Malemath, V.S., Department of P.G. Studies and Research in Computer Science, Gulbarga University, Gulbarga-585106, Karnataka, India",ICPR,2006,9
Learning mixtures of offline and online features for handwritten stroke recognition,"Alahari, K., Centre for Visual Information Technology, IIIT Hyderabad, India; Putrevu, S.L., Centre for Visual Information Technology, IIIT Hyderabad, India; Jawahar, C.V., Centre for Visual Information Technology, IIIT Hyderabad, India",ICPR,2006,
Improvement of prediction accuracy using discretization and voting classifier,"Ekbal, A., Murshidabad College of Engineering and Technology, West Bengal, India",ICPR,2006,
Super-resolution in the presence of space-variant blur,"Suresh, K.V., Image Processing and Computer Vision Laboratory, Department of Electrical Engineering, IIT Madras, Chennai-36, India; Rajagopalan, A.N., Image Processing and Computer Vision Laboratory, Department of Electrical Engineering, IIT Madras, Chennai-36, India",ICPR,2006,1
A pattern synthesis technique with an efficient nearest neighbor classifier for binary pattern recognition,"Viswanath, P., Department of Computer Science, Indian Institute of Science, Bangalore - 560 012, India; Murty, M.N., Department of Computer Science, Indian Institute of Science, Bangalore - 560 012, India; Bhatnagar, S., Department of Computer Science, Indian Institute of Science, Bangalore - 560 012, India",ICPR,2004,2
Photometric stereo under blurred observations,"Joshi, M.V., Department of Electrical Engineering, Indian Inst. of Technology - Bombay, Powai, Mumbai-400076, India; Chaudhuri, S., Department of Electrical Engineering, Indian Inst. of Technology - Bombay, Powai, Mumbai-400076, India",ICPR,2004,3
Tracking of point targets in ir image sequence using multiple model based particle filtering and MRF based data association,"Zaveri, M.A., SPANN Lab., Electrical Engineering Dept., IIT Bombay, 400076, India; Merchant, S.N., SPANN Lab., Electrical Engineering Dept., IIT Bombay, 400076, India; Desai, U.B., SPANN Lab., Electrical Engineering Dept., IIT Bombay, 400076, India",ICPR,2004,5
A new predictive full-search block motion estimation,"Reddy, V.S.K., Department of Electronics, Kharagpur-721 302, India; Sengupta, S., Department of Electronics, Kharagpur-721 302, India",ICPR,2004,
An image watermarking scheme using HVS characteristics and spread transform,"Maity, S.P., Bengal Engineering College (DU), Dept. of Electronics Engg., P.O.-Botanic Garden, Howrah 711 103, India; Kundu, M.K., Indian Statistical Institute, Machine Intelligence Unit, 203 B. T. Road, Kolkata 700 108, India",ICPR,2004,13
"An undecimated wavelet transform based denoising, PPCA based pulse modeling and detection-classification of PD signals","Shetty, P.K., Indian Institute of Science, Department of HVE, Bangalore-560012, India; Ramu, T.S., Indian Institute of Science, Department of HVE, Bangalore-560012, India",ICPR,2004,2
Video shot interpretation using principles of perceptual prominence and perceptual grouping in spatio-temporal domain,"Harit, G., Electrical Engineering Department, IIT Delhi, New Delhi-110016, India; Chaudhury, S., Electrical Engineering Department, IIT Delhi, New Delhi-110016, India",ICPR,2004,1
Video motion estimation using prediction based hybrid approach,"Dhara, B.C., Department of Information Technology, Jadavpur University, Kolkata, India; Chanda, B., Electronics and Commun. Sci. Unit, Indian Statistical Institute, Kolkata, India",ICPR,2004,1
A fuzzy min-max neural network classifier with compensatory neuron architecture,"Nandedkar, A.V., Indian Institute of Technology, Kharagpur, India; Biswas, P.K., Indian Institute of Technology, Kharagpur, India",ICPR,2004,9
New operators of genetic algorithms for traveling salesman problem,"Ray, S.S., Machine Intelligence Unit, Indian Statistical Institute, Kolkata 700108, India; Bandyopadhyay, S., Machine Intelligence Unit, Indian Statistical Institute, Kolkata 700108, India; Pal, S.K., Machine Intelligence Unit, Indian Statistical Institute, Kolkata 700108, India",ICPR,2004,21
CBIR using perception based texture and colour measures,"Saha, S.K., CSE Department, Jadavpur Univ., India; Das, A.K., CST Department, B.E. College, India; Chanda, B., Electron. and Commun. Sciences Unit, ISI, Kolkata, India",ICPR,2004,18
Identification of embedded mathematical expressions in scanned documents,"Garain, U., Comp. Vis. and Pattern Recog. Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-108, India; Chaudhuri, B.B., Comp. Vis. and Pattern Recog. Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-108, India; Chaudhuri, A.R., Dept. of Computer Science and Engg, Jadavpur University, Kolkata 700 032, India",ICPR,2004,8
Feature selection and gene clustering from gene expression data,"Mitra, P., Machine Intelligence Unit, Indian Statistical Institute, Kolkata 700108, India; Majumder, D.D., Electronics and Commun. Sci. Unit, Indian Statistical Institute, Kolkata 700108, India",ICPR,2004,4
An efficient technique for protein sequence clustering and classification,"Vijaya, P.A., Department of Computer Science, Indian Institute of Science, Bangalore - 560012, India; Murty, M.N., Department of Computer Science, Indian Institute of Science, Bangalore - 560012, India; Subramanian, D.K., Department of Computer Science, Indian Institute of Science, Bangalore - 560012, India",ICPR,2004,2
Rotated complex wavelet based texture features for content based image retrieval,"Kokare, M., Indian Institute of Technology, Kharagpur- 721 302, India; Biswas, P.K., Indian Institute of Technology, Kharagpur- 721 302, India; Chatterji, B.N., Indian Institute of Technology, Kharagpur- 721 302, India",ICPR,2004,2
Principal component analysis for online handwritten character recognition,"Deepu, V., Hewlett-Packard Labs, Bangalore 560 030, India; Madhvanath, S., Hewlett-Packard Labs, Bangalore 560 030, India; Ramakrishnan, A.G., Indian Institute of Science, Bangalore 560 012, India",ICPR,2004,27
Corner detection using support vector machines,"Banerjee, M., Machine Indian Statistical Institute, Kolkata 700108, India; Kundu, M.K., Machine Indian Statistical Institute, Kolkata 700108, India; Mitra, P., Machine Indian Statistical Institute, Kolkata 700108, India",ICPR,2004,9
Small-world approximations in spectral segmentation,"Srinivasan, S.H., Satyam Computer Services Ltd., India",ICPR,2004,
A multiple-classifier system for recognition of printed mathematical symbols,"Garain, U., Comp. Vis. and Pattern Recog. Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-108, India; Chaudhuri, B.B., Comp. Vis. and Pattern Recog. Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata-108, India; Ghosh, R.P., Dept. of Computer Science and Engg, MCKV Institute of Engineering, Howrah 711 204, WB, India",ICPR,2004,6
Approximate fingerprint matching using Kd-tree,"Bhowmick, P., Comp. Science and Technology Dept., Bengal Engineering College (DU), Shibpur, Howrah 711103, India; Bhattacharya, B.B., Adv. Comp. and Microelectronics Unit, Indian Statistical Institute, 203 B. T. Road, Kolkata 700108, India",ICPR,2004,7
Min-d-occur: Ensuring future occurrences in streaming sets,"Jain, V., Yahoo Labs, Bangalore, India; Galhotra, S., Dept. of Comp. Sci. and Engg., IIT Delhi, India",UAI,2014,
Collective diffusion over networks: Models and inference,"Kumar, A., Analytics and Optimization, IBM Research India, India; Sheldon, D., Dept. of Computer Science, University of Massachusetts Amherst, United States; Srivastava, B., Analytics and Optimization, IBM Research India, India",UAI,2013,1
Mechanism design for cost optimal PAC learning in the presence of strategic noisy annotators,"Garg, D., IBM India Research Lab, New Delhi, 110070, India; Bhattacharya, S., Yahoo Labs, Bangalore, 560071, India; Sundararajan, S., Yahoo Labs, Bangalore, 560071, India; Shevade, S., Dept. of CSA, IISc, Bangalore, 560012, India",UAI,2012,
Fractional moments on bandit problems,"Ananda Narayanan, B., Dept. of Electrical Engg., Indian Institute of Technology, Madras, India; Ravindran, B., Dept. of Computer Science and Engg., Indian Institute of Technology, Madras, India",UAI,2011,
Dynamic mechanism design for markets with strategic resources,"Nath, S., Indian Institute of Science, Bangalore, India; Zoeter, O., Xerox Research Centre Europe, Meylan, France; Narahari, Y., Indian Institute of Science, Bangalore, India; Dance, C.R., Xerox Research Centre Europe, Meylan, France",UAI,2011,
Image retrieval using textual cues,"Mishra, A., CVIT, IIIT Hyderabad, India; Alahari, K.Departement d'Informatique de l, Ã‰cole Normale SupÃ©rieure, CNRS UMR 8548, Paris, France; Jawahar, C.V., CVIT, IIIT Hyderabad, India",ICCV,2013,2
Adapting classification cascades to new domains,"Jain, V., Yahoo Labs Bangalore, Labs Bangalore, India; Farfade, S.S., Yahoo Labs Bangalore, Labs Bangalore, India",ICCV,2013,2
Decomposing bag of words histograms,"Gandhi, A., CVIT, IIIT Hyderabad, India; Alahari, K., Inria, France, DÌepartement d'Informatique de l' Ì Ecole Normale Suá¹•erieure, UMR 8548, CNRS, Paris, France; Jawahar, C.V., CVIT, IIIT Hyderabad, India",ICCV,2013,
Non-convex p-norm projection for robust sparsity,"Gupta, M.D., Ricoh Innovations Pvt. Ltd., Bangalore, India; Kumar, S., Qualcomm, Bangalore, India",ICCV,2013,
Efficient and robust large-scale rotation averaging,"Chatterjee, A., Department of Electrical Engineering, Indian Institute of Science, Bengaluru, India; Govindu, V.M., Department of Electrical Engineering, Indian Institute of Science, Bengaluru, India",ICCV,2013,2
Offline mobile instance retrieval with a small memory footprint,"Panda, J., CVIT, IIIT, Hyderabad, India; Brown, M.S., NUS, Singapore; Jawahar, C.V., CVIT, IIIT, Hyderabad, India",ICCV,2013,1
Efficient higher-order clustering on the Grassmann Manifold,"Jain, S., Microsoft Research, India; Govindu, V.M., Department of Electrical Engineering, Indian Institute of Science, Bengaluru, India",ICCV,2013,
Class-specific simplex-latent dirichlet allocation for image classification,"Dixit, M., Department of Electrical and Computer Engineering, University of California, San Diego, United States; Rasiwasia, N., Yahoo Labs, Bangalore, India; Vasconcelos, N., Department of Electrical and Computer Engineering, University of California, San Diego, United States",ICCV,2013,
Realtime multibody visual SLAM with a smoothly moving monocular camera,"Kundu, A., International Institute of Information Technology, Hyderabad, India; Krishna, K.M., International Institute of Information Technology, Hyderabad, India; Jawahar, C.V., International Institute of Information Technology, Hyderabad, India",ICCV,2011,4
A joint learning framework for attribute models and object descriptions,"Mahajan, D., Yahoo Labs, Bangalore, India; Sellamanickam, S., Yahoo Labs, Bangalore, India; Nair, V., Yahoo Labs, Bangalore, India",ICCV,2011,8
A GPU-assisted personal video organizing system,"Mohiuddin, K.W., Center for Visual Information Technology, IIIT Hyderabad, India; Narayanan, P.J., Center for Visual Information Technology, IIIT Hyderabad, India",ICCV,2011,
A hybrid framework for event detection using multi-modal features,"Hassan, E., Dept. of Electrical Engg., IIT Delhi, India; Chaudhury, S., Dept. of Electrical Engg., IIT Delhi, India; Gopal, M., Dept. of Electrical Engg., IIT Delhi, India; Garg, V., Dept. of Electrical Engg., IIT Delhi, India",ICCV,2011,1
